UNK,0.061657,-0.023505,-0.0588679,0.106501,0.0275539,0.060786,0.0195129,0.368248,0.167682,0.0484351,-0.124391,-0.139556,0.0764138,-0.1338,0.0905817,0.0931776,-0.105383,-0.0155857,0.00370936,-0.195107,-0.0473177,-0.00652211,-0.153109,0.0148209,-0.0503907,0.0100986,0.0628157,0.05629,-0.198265,0.0694776,-0.0915908,0.0138395,0.000243888,-0.0222336,0.0144835,0.121623,-0.00673314,0.0348478,0.121887,-0.209286,0.0103172,0.00709648,0.455166,-0.0123894,-0.0283431,-0.143921,-0.0228478,-0.208017,-0.0641289,-0.0275659,0.101691,-0.0192503,-0.258914,-0.0494881,-0.100293,-0.281038,0.0272536,0.110379,-0.0453638,0.049096,-0.0537282,-6.5227e-05,-0.200464,-0.117152
_,-0.108929,-0.000302734,-0.0280999,0.0583122,-0.200682,-0.00806599,-0.00525064,-0.586837,0.013272,-0.0177607,0.0640494,-0.0177673,0.0125148,0.00832718,0.00181573,-0.00491458,0.299217,-0.0148197,-0.00148668,0.00476775,0.129416,-0.0461366,0.0244911,-0.079428,0.0924482,-0.00453613,-0.100815,0.0187719,-0.0664427,0.0302593,-0.0321478,0.0864098,0.0891187,-0.0109517,0.135519,0.0442565,-0.0520749,0.0223075,0.0083165,-0.0189989,-0.0155409,0.0142278,0.58107,-0.0681508,0.0249774,0.0376978,0.0139134,0.0972147,0.0523729,0.0509472,0.0429369,0.105507,-0.0580922,0.0350858,0.0218083,-0.00051383,-0.0343663,0.020971,0.12189,-0.0483006,-0.0346941,-0.017746,0.0664697,0.104762
о,0.023309,-0.00728378,0.0156481,-0.0407171,-0.158665,-0.0342466,0.00702837,0.0436833,-0.0166479,-0.00593831,0.3778,0.0163514,0.0509125,-0.0161191,-0.0333681,0.0317009,-0.0893709,0.0645944,-0.0126384,0.0105055,-0.255149,-0.00727162,0.0230161,-0.0761675,0.0767073,0.0184342,-0.249558,-0.036137,0.0067819,0.0241616,0.0608616,-0.0142741,0.239254,-0.0339672,0.0461556,0.00640677,0.0569662,0.0406124,-0.00623613,0.0316077,0.00795867,0.0381644,-0.634575,0.0269001,-0.0169383,-0.00998824,0.00179615,0.000991713,-0.073332,0.0113846,-0.0357173,0.0133219,0.179441,0.23755,0.0899186,0.0411791,0.0151689,0.0204234,0.278096,0.0286154,0.0171375,-0.0588735,-0.0527581,0.0106956
е,-0.111246,-0.0342405,0.00355399,0.02045,-0.0436712,0.00838042,0.0182057,-0.00692083,-0.0231512,0.00649825,0.128792,0.0703158,0.0113817,0.0287828,-0.0481775,-0.00165173,-0.144613,-0.0120571,-0.028786,0.0386083,0.219089,0.00606344,0.0102692,-0.0117054,-0.00165463,-0.00363956,-0.140856,0.0404223,-0.00813412,0.000199246,0.0686204,0.158553,0.0508132,0.0137539,0.0792176,0.0682877,0.175686,-0.0234283,-0.0488614,0.0823343,-0.0276584,0.022137,-0.671059,-0.155881,-0.00242722,-0.0812814,0.0114543,-0.0479718,0.165798,-0.00870443,0.0207175,-0.0937251,-0.340187,0.296897,0.189852,0.0146575,-0.0144978,-0.00915763,-0.0860334,-0.00804607,-0.000872561,0.0134255,-0.0321662,-0.100569
и,0.00799969,0.00550493,0.00487792,-0.0410002,-0.269192,-0.0177479,0.00809991,0.104161,0.0159131,-0.0529987,-0.271787,0.0122874,0.0201579,-0.00257398,-0.0221179,-0.0115353,0.0660175,-0.0603941,0.0739165,-0.00037146,-0.290019,0.00605437,0.0345018,-0.124578,-0.0193212,0.033667,0.311087,-0.0689394,-0.0206277,-0.024805,0.0956248,0.279137,-0.08796,-0.0408509,-0.105116,0.0856203,-0.0574157,0.0337352,-0.00876256,0.0478483,0.0210624,0.0254774,-0.574162,0.0518578,0.0546736,0.149381,-0.00921385,0.0322745,-0.0356077,-0.0271943,-0.0159765,-0.00876488,-0.233179,0.138751,0.11303,-0.00428337,-0.0220851,-0.0133312,-0.181262,0.00455919,-0.0193531,0.0126758,0.106904,0.0469134
а,-0.0867961,-0.0338192,0.0116571,0.0270946,0.160382,-0.000721371,-0.0131515,0.0173995,0.00624169,-0.0115036,0.117909,-0.0241274,-0.0353644,-0.0123461,-0.237286,-0.047724,0.0869798,-0.0585155,0.00603699,0.0468702,-0.166909,0.0113136,-0.00736973,-0.167864,0.00656716,0.0248706,0.124899,0.0403696,-0.0236722,-0.0120537,0.0273852,-0.194477,0.122725,0.0246287,0.0448153,0.0820828,-0.168436,-0.0299913,0.0263351,0.0303722,0.00915006,-0.0304476,-0.573541,0.0244479,0.00856132,-0.0201185,-0.205381,0.0388716,0.0095988,0.0512426,0.00308118,-0.227737,-0.44809,0.219217,-0.120998,-0.0440924,-0.03555,0.00985409,0.0994872,-0.0182995,0.00455901,-0.00486141,0.032564,0.0160839
н,0.208048,-0.0220112,0.0212762,0.00202837,-0.0726435,-0.0263804,-0.0304642,-0.155045,-0.0203866,-0.0166569,-0.392738,-0.0227321,-0.00231659,-0.0119473,0.0387109,0.0156016,0.0525277,0.00534946,-0.0287518,-0.0397749,0.0663092,0.0147582,-0.0199187,-0.0869761,-0.125545,-0.0286866,0.061439,0.0102956,0.0404146,-0.0388038,-0.0390931,-0.283249,-0.40912,-0.00456838,0.063013,-0.0106657,0.0291718,0.0133056,-0.0116767,-0.055418,-0.0321117,0.0275359,-0.422169,0.0641018,-0.014973,-0.0239871,-0.0868475,-0.126575,0.27507,-0.00319786,-0.0448935,0.0136612,0.325429,0.0806764,0.00275839,0.0355843,-0.00876396,0.00232684,-0.185558,0.00871843,0.00879127,0.020723,0.142721,0.11454
т,0.234745,0.00212889,-0.0375466,0.00117296,-0.0565815,0.00435909,0.051204,0.0146773,0.0136389,-0.0239471,0.113364,0.0389235,-0.0631578,0.025602,0.00295952,-5.43365e-05,0.0600044,-0.0338838,-0.0264774,-0.0414151,0.109544,0.00179042,-0.00838948,0.135185,0.151468,0.0392185,-0.191911,0.0618308,0.00678589,0.00904005,0.0337749,0.103902,-0.0628953,0.0246407,-0.0260814,-0.0228074,0.0936138,-0.00899136,0.0315832,0.0295656,0.00458265,0.0104452,-0.513617,0.0839776,-0.0282746,-0.0487199,0.0888096,0.00229855,0.00729942,-0.0312663,-0.000103366,0.150978,0.0686792,-0.460949,-0.207097,0.017227,-0.00670706,0.00858866,-0.27315,0.00868468,0.0116832,-0.0136464,-0.00202984,0.380879
с,0.0674288,0.0341429,0.0140382,0.00193393,-0.0773609,0.00242392,0.0145868,-0.189622,-0.00778922,-0.0133779,0.167636,-0.0718969,0.089772,-0.00802618,0.081947,0.0207902,-0.276899,-2.69769e-05,0.0102974,0.0615654,-0.0117843,-0.0191797,0.00673396,-0.10267,-0.0954761,0.000477931,0.00727421,-0.0144802,-0.0338721,-0.00136932,-0.0728661,-0.21452,0.0406012,-0.027618,0.00448288,0.0297802,-0.10506,-0.0391766,0.0530033,-0.0811962,0.00247746,-0.0164992,-0.345261,-0.166488,0.0140675,0.24805,0.0525669,-0.0482056,-0.236869,-0.0295691,0.0130643,0.0230144,0.106554,-0.44313,0.00784428,-0.0465027,-0.0453276,0.00510597,-0.214822,-0.014717,-0.0254848,-0.0147349,0.164124,-0.407977
р,-0.213206,-0.015589,-0.0381614,0.0122697,0.0359703,0.00826023,0.0516437,-0.106804,-0.0040333,0.00364396,-0.279367,-0.0219321,-0.0748875,0.0147872,0.0117667,0.0218062,-0.044218,-0.00549133,0.00144425,0.00725088,0.00260804,0.0200536,-0.0262264,0.157813,-0.0854581,-0.00889916,0.150287,0.0232936,0.0406137,0.073705,0.0584493,0.0757711,0.419989,-0.0107571,-0.0612976,-0.0511021,-0.0119351,-0.0218913,0.0759047,-0.00356368,0.0083517,-0.0365091,-0.232374,-0.00873976,-0.0110416,-0.0930552,-0.11332,-0.0373659,0.142895,0.0177192,-0.00144432,-0.102116,0.674006,-0.0435042,-0.0227707,-0.0469501,0.00475485,-0.0115113,0.08842,0.00904443,0.0211465,0.0130082,0.0583111,-0.0869921
